lClass,facilName,majorSeq,mClass,totalCount
교육계열,"가정교육과,소비자생활문화산업학과,소비자주거학과,소비자주거학전공,실과교육과(심화전공)",10006,가정교육과,304
의약계열,"간호대학,간호전공,간호학과,간호학과(4년제),간호학과(김해),간호학과(야간),간호학과(특별과정),간호학부,간호학부 간호학과,간호학부(간호학전공),간호학전공,간호헬스케어학과,글로벌건강간호학전공",10,간호학과,304
예체능계열,"건강관리학과,건강보건대학,건강운동관리학과,건강증진학과,미용건강관리학과,스마트헬스케어학과,스포츠건강관리학과,요가명상학과,운동건강관리,운동건강관리전공,운동건강관리학과,운동건강학부,체육학부 건강운동관리전공,통합건강관리학과,한방건강관리학과,한방건강약선학과,헬스케어학과",11,건강관리학과,304
교육계열,건설공학교육과,21002,건설공학교육과,304
공학계열,"건설공학과,건설공학부,건설기술학,건설방재공학과,건설방재공학부,건설방재공학부 건설방재공학전공,건설방재공학부 건설환경공학전공,건설융합학부 건축공학전공,건축・인테리어디자인학과,건축・토목공학과(건축공학심화트랙),건축・토목공학부 건축공학전공,건축・해양건설융합공학부,건축·토목·환경공학부,건축·토목공학과,건축공학(4년제),건축공학ㆍ토목공학ㆍ환경공학ㆍ식품공학ㆍ조경학자율전공학부,건축공학과,건축공학부,건축공학부 건축공학전공,건축공학부(4년제),건축공학전공,건축기계설비공학과,건축도시시스템공학과,건축도시시스템공학전공,건축도시토목공학부(건축공학전공),건축시스템공학과,건축시스템공학전공,건축시스템전공,건축안전공학과,건축인테리어디자인학과,건축토목공학과,건축토목공학부,건축학・건축공학전공,건축학과(건축공학전공),건축학부 건축공학전공,건축학부(건축공학전공),건축학부건축공학전공,그린스마트건축공학과,도시공학부,부동산건설학부,설비공학과,스마트건축공학과,스마트공학부 건축토목공학전공,스마트시티건축공학과,융합건설시스템학과,인간환경융합공학부 건축공학과,창의공학부",17,건축공학과,304
공학계열,"건설공학부 건축학전공,건설융합학부,건설융합학부 건축학전공,건축공간디자인학과,건축공학부 건축디자인전공(5년제),건축공학부 건축학전공(5년제),건축과,건축도시부동산학부,건축도시설계전공(5년),건축디자인과(5년제),건축디자인전공,건축사회환경공학부,건축설계전공,건축설계학전공,건축소방안전학과,건축인테리어학과,건축플랜트학과,건축학,건축학(5년제),건축학과,건축학과 건축학전공(5년제),건축학과(4),건축학과(4년제),건축학과(5),건축학과(5년),건축학과(5년제),건축학과(건축학전공(5년)),건축학부,건축학부 건축학전공,건축학부 건축학전공(5년제),건축학부 실내건축전공,건축학부 실내건축학전공,건축학부 전통건축전공(5년제),건축학부(건축학전공),건축학부(건축학전공/전통건축전공) (5년제),건축학부건축학전공,건축학전공,건축학전공(5년),건축학전공(5년제),공간디자인・소비자학과,공간디자인융합기술학과,공간디자인융합기술학부,공항건축전공,도시건축학부,도시건축학전공,디자인ㆍ건축공학부,디자인건축융합학부,스마트시티건축학전공,스마트융합공학부 건축IT융합전공,스마트융합공학부 지속가능건축융합전공,스마트플랜트공학과,실내건축학과,실내건축학전공,의료건축디자인공학과,전통건축학과,주거환경전공,주거환경학과,주거환경학전공,한옥건축학과,한옥학과,해양・플랜트건설공학과,해양건설공학과,해양건설시스템공학과,해양공간건축학과,해양공간건축학부,환경ㆍ토목ㆍ건축학과",20,건축학과,304
공학계열,"Game Development학과,SW융합학부 게임전공,게임VR학과,게임공학과,게임공학전공,게임디자인학과,게임소프트웨어공학과,게임소프트웨어전공,게임소프트웨어학과,게임애니메이션공학전공,게임애니메이션전공,게임애니메이션학과,게임전공,게임콘텐츠학과,게임학과,게임학부 게임소프트웨어전공(공학계),디지펜게임공학과,디지펜게임공학전공,아트&테크놀로지학과,컴퓨터.게임융합학과,컴퓨터.게임학과,테크노미디어융합학부 게임멀티미디어전공",21,게임공학과,304
사회계열,"AI부동산빅데이터학과,IT경영정보학과,경영빅데이터학과,경영정보・AI비즈니스학과,경영정보전공,경영정보학과,경영정보학부,경영정보학전공,경영학부(경영정보학전공),국제경영정보학과,국제산업정보전공,복지경영학과,빅데이터경영학과,산업정보융합학부,인터넷경영정보학전공,회계세무・경영정보학부",10139,경영정보학과,304
사회계열,"AI경영학과,AI기술경영융합전공,AI빅데이터융합경영학과,AI융합경영학과,Department of International Business,Dept. of Global Business,EMU경영학부,ESG경영학과,FTA국제학부 국제경영전공,G2빅데이터경영학과,Global Business & Technology전공,Global Business & Technology학부,Global Business Administration학과,HRD학과,IBT학과,International Business 전공,IT경영전공,IT경영학,IT경영학과,IT경영학전공,IT비즈니스학과,IT융합경영학과,K-뷰티비즈니스전공,K-인터넷비즈니스경영학과,SW융합학부 SW융합경제경영전공,가족자원경영학과,경영,경영・통상・복지학부,경영·회계학부,경영ㆍ미디어계열,경영ㆍ부동산전공,경영경제대학,경영경제데이터산업학부 IT경영데이터분석전공,경영경제데이터산업학부 금융경제데이터분석전공,경영경제학부,경영경제학부 경영학전공,경영경제학부 경제학전공,경영경제학부 국제경영학전공,경영계열,경영공학부,경영과학부,경영관광회계학부,경영관리자율전공학부,경영관리전공,경영대학,경영인텔리전스학과,경영전공,경영학,경영학과,경영학과(경영학전공),경영학과(글로벌테크노경영전공),경영학과2,경영학부,경영학부 (IT경영전공),경영학부 경영학전공,경영학부(경영전공),경영학부(경영학),경영학부(경영학전공),경영학부(글로벌경영학),경영학부(글로벌금융전공),경영학부(데이터사이언스경영전공),경영학부(인문사회),경영학전공,경영학전공 트랙,경영학전공(야간),골프경영학과,공연기획경영학과,국제경영전공,국제경영학과,국제경영학부,국제경영학전공,국제마케팅전공,국제마케팅학과,국제무역·마케팅학부,국제비즈니스학부,글로벌 IT 경영전공,글로벌MICE전공,글로벌경영전공,글로벌경영학과,글로벌경영학과(경영전공),글로벌경영학과(정원외),글로벌경영학부,글로벌경영학전공,글로벌리더십학부,글로벌리더학부,글로벌문화산업학과,글로벌미래경영학과,글로벌비서경영학과,글로벌비서학과,글로벌비즈니스,글로벌비즈니스전공,글로벌비즈니스학,글로벌비즈니스학과,글로벌비즈니스학부,글로벌스포츠산업학부,글로벌창업전공,글로벌통상경영학과,글로벌프론티어학과,글로벌호텔매니지먼트학과,글로벌휴먼경영전공,금융경영전공,기술경영학과,기술경영학부,기업경영전공,기업경영학과,기업경영학부,기업컨설팅학과,도시경제부동산학과,디자인ㆍ예술경영학부,디자인경영융합학부,디지털경영전공,디지털경영학과,디지털경영학부,디지털기술경영학과,리더십과조직과학전공,마이스터경영학과,마케팅ㆍ경영학부,마케팅비즈니스학과,마케팅빅데이터학과,마케팅정보컨설팅학과,마케팅커뮤니케이션테크놀로지융합전공,마케팅학과,마케팅학전공,문화경영학과,문화디자인경영전공,문화산업경영학과,문화산업전공,문화예술경영전공,물류비즈니스학과,미디어경영학과,미래경영학과,미래융합경영학과,미래융합학부,미술경영전공,미주비즈니스학과,벤처경영학과,병원경영학과,복지경영학과,부동산경영학과,부동산학과,부동산학전공,비즈니스컨설팅학과,비즈니스통계학과,비즈니스학부,비즈니스혁신학부,빅데이터경영공학부,빅데이터경영통계전공,빅데이터융합전공,빅데이터인문경영융복합전공,사회경영대학,사회적경제기업학과,사회적기업학과,사회혁신융복합전공,산업경영학과,상경계열,상경학부 국제경영(중국·일본)전공,상경학부 글로벌경영전공,서비스경영전공,서비스경영학과,서비스경영학부,솔브릿지경영학부,수산경영학과,스마트경영학부,스마트비즈니스학과,스타트업융복합전공,스타트업창업투자학전공,실버문화경영학과,실버산업학과,실용경영학부,아트앤테크놀로지전공,안보경영학과,엔터테인먼트학전공,영상비즈니스과,온라인커머스학과,웰니스경영학과,유통경영전공,유통경영학과,융합경영전공,융합경영학과,융합경영학부,융합경영학부 경영학전공,융합경영학부 글로벌융합비즈니스학과,융합경영학부 마케팅・애널리틱스전공,융합자율전공학부,응용AI융합학부,의료경영학과,의료산업경영학과,이벤트/컨벤션학전공,인도비즈니스학과,자산관리학과,자산운용학과,재테크ㆍ마케팅학과,정보・전자상거래학부,정보경영학과,정보경영학부,정보경영학전공,주얼리디자인비즈니스학과,중국비즈니스학과,지식경영학부,지식서비스경영학과,지역소상공비즈니스,차문화경영학과,차이나데이터큐레이션전공,창업투자경영학과,창의기술경영전공,철도경영 ・ 물류 ・ 데이터사이언스학부,철도경영・물류학과,철도경영・물류학전공,철도경영학과,청도인적자원개발학과,축산경영ㆍ유통경제학전공,커리어플러스학부 부동산금융재테크전공,헬스케어전공,테크노경영학과,파이낸스경영학과,패션비즈니스학과,표준ㆍ지식학과,프로네시스융합학부,핀텍경영학과,한중비즈니스학과,항공경영학과,해양경영경제학부(해양정보・금융전공),해양경영경제학부(해운경영전공),해양수산경영경제학부,해양수산경영학과,해양수산경영학전공,해양플랜트운영학과,해운경영학부,해운항만경영학과,혁신경영학과,휴먼서비스학과,휴먼융합서비스학부(스마트비즈니스전공),휴먼케어창의학부(자산관리ㆍ6차산업학전공)",23,경영학과,304
사회계열,"경제·정보통계학부,경제금융,경제금융물류학부,경제금융보험학과,경제금융자산관리학과,경제금융전공,경제금융학과,경제금융학부,경제금융학부(경제금융전공),경제금융학부(경제통상전공),경제금융학전공,경제대학,경제무역학부(경제학전공),경제산업학부,경제정책학전공,경제통계학부,경제통상학부 경제학전공,경제학,경제학과,경제학부,경제학부 경제학전공,경제학전공,경제학전공 트랙,국제경제학과,국제무역ㆍ경제금융학부(경제금융전공),글로벌경제학과,글로벌비즈니스학부(경제학전공),금융부동산경제학과,무역경제학부 경제금융학전공,부동산경제금융학과,사회적경제학과,산업경제학과,산업응용경제학과,소비자경제학과,신산업융합학과,신산업융합학부,언더우드 경제학전공,자원환경경제학전공,중국경제통상학과,중국경제통상학전공,지역경제전공,지역경제학과,해양경영경제학부(경제전공),행정경제학과군,행정경제학부,행정경제학부(경제학전공),환경자원경제학과",25,경제학과,304
