summary,salery,jobdicSeq,job,aptitude,capacity,major_seqs,major_names
"- 가구제조ㆍ수리원은 여러 형태의 가구를 가공, 제작하고, 가구의 파손된 부위를 수선하는 일을 담당한다. 

- 고객으로부터 불만, 부가서비스 등을 접수하여 방문계획을 수립하고 옷장, 책상, 소파 등 가구의 파손부위를 수리한다. 

- 대패, 끌 등의 목공구와 수동공구를 사용하여 파손된 부위에 맞는 부품을 제작하고, 못이나 접착제를 사용하여 조립한다. 

- 오염되거나 파손된 소파의 천을 교체하고 가구표면의 장식이나 자개 등을 모양에 맞게 부착한다. 

- 다양한 수공구 및 목공기계를 사용하여 각종 가구를 제작, 조립, 장식, 수선, 가공하는 업무를 수행한다.

- 재료의 형태, 치수 및 요구되는 기계가공을 결정하기 위하여 도면과 명세서를 검토ㆍ분석한다.

- 가공할 재료 위에 참고점과 절단선을 표시한다.

- 목재를 필요한 규격으로 절단하여 구멍을 뚫고 대패질하며, 접착 조립하기 위하여 다양한 수공구 및 목공기계를 조정ㆍ조작한다. 

- 완성제품이 제작명세서와 일치하는지 검사한다.",3천만원 ↑,159,"가구제조,수리원","- 가구제작 도면을 읽을 수 있는 능력과 가구제작에 필요한 기기 및 장비를 다룰 수 있는 손재주와 꼼꼼함 등이 요구된다. 

- 디자인 감각이 있으면 작업 수행에 유리할 수 있다.  

- 예술형과 탐구형의 흥미를 가진 사람에게 적합하며, 등의 성격을 가진 사람들에게 유리하다.","가구제작기능사, 목공예기능사",,
"- 가구조립 및 검사원은 여러 형태의 가구를 조립하고 조립을 완성한 가구제품의 품질과 결함 여부를 검사하는 일을 담당한다. 
- 조립할 목재의 규격을 검사하고 조립부분의 먼지나 오물을 제거한다. 
- 기계의 작동상태 및 압력을 조절하고 제품이 기계에 투입되는 간격을 조정한다. 
- 가공된 가구부분품을 가구조립기에 장착하여 조립하거나 기타 수동공구를 사용하여 조립한다. 
- 드라이버, 동력공구, 아교 등을 이용하여 손잡이, 경첩, 걸쇠 등의 부착물을 붙인다. 
- 완성제품이 제작명세서와 일치하는지 검사한다.",3천만원 ↑,1152,가구조립 및 검사원,"- 가구제작 도면을 읽을 수 있는 능력과 가구제작에 필요한 기기 및 장비를 다룰 수 있는 손재주와 꼼꼼함 등이 요구된다. 
- 디자인 감각이 있으면 작업 수행에 유리할 수 있다.  
- 사회형과 진취형의 흥미를 가진 사람에게 적합하며, 자기통제 능력, 협조심, 사회성 등의 성격을 가진 사람들에게 유리하다.","가구제작기능사, 목공예기능사",,
"- 가사도우미는 주부를 대신하여 집안 청소, 요리, 세탁, 다림질 등의 가사 노동을 대신하는 일을 담당한다. 
- 고용된 가정의 화장실과 거실 등의 집안을 청소하고 가재도구의 먼지를 제거하는 등의 집안을 정리, 정돈한다.
- 요리를 하며, 요청에 따라서는 가사뿐 아니라 자녀를 돌봐주기도 한다. 
- 때에 따라 고용가정의 공과금을 납부하고 우편물을 보관한다.
- 집안을 정리정돈하고 청소도구를 사용하여 청소를 한다.
- 의복과 이불 등을 세탁하고 다림질한다.
- 고용가정의 요청에 따라 음식을 만드는 등 기타 가사업무를 수행하기도 한다.",2천만원 ↓,352,가사도우미,"- 가사 노동은 체력 소모가 많은 일이므로 신체적으로 건강해야 하며, 자신의 집안일을 한다는 생각으로 가사 일을 대행할 수 있는 책임감과 성실함이 요구된다. 
- 사회형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 인내심, 남에 대한 배려, 스트레스를 감내할 수 있는 성격을 가진 사람들에게 유리하다.",,,
"- 가상현실전문가는 3차원모델링(3D) 및 가상현실모델링언어(VRML)등의 기술을 이용해 가상의 시공간에서 가상시스템을 개발한다.
- 사용자가 원하는 가상세계가 무엇인지 파악하거나 개발하고자 하는 시스템을 분석하여 개발방향을 설정한다. 
- 신제품에 대한 기획안을 토대로 3차원 컴퓨터그래픽 제어기술을 활용하여 프로그래밍 한 후 디자인 감각을 가지고 사용자가 실제의 느낌을 가질 수 있도록 가상현실시스템을 디자인한다. 
- 제작된 3차원 가상현실 소프트웨어에 오류는 없는지 테스트하고 수정작업을 거쳐 제품을 완성하며 3차원 컴퓨터 그래픽 제어기술을 활용하여 프로그래밍 한다.",3천만원 ↑,1093,가상현실전문가,"- 가상현실전문가는 종합적인 분석을 통해 이루어지므로 거시적인 안목과 분석력, 창의력, 공간 지각력이 요구되며 가상의 시공간에 대한 폭넓은 응용력이 필요하다. 
- 여러 사람들과 의견을 조율하거나 팀을 이루어 일하는 경우가 많으므로 협동심과 원만한 대인관계가 필요하다.
- 진취형과 탐구형의 흥미를 가진 사람에게 적합하며,  분석적 사고, 혁신, 신뢰성, 리더십 등의 성격을 가진 사람들에게 유리하다.","정보처리기사, 시각디자인산업기사, 시각디자인기사, 컴퓨터그래픽스운용기능사","569, 570, 575, 578, 579","컴퓨터공학과, 컴퓨터과학과, 컴퓨터디자인학과, 컴퓨터소프트웨어과, 컴퓨터응용기계과"
"- 가수는 악단이나 녹음된 반주에 맞추어 공연장이나 콘서트 무대에서 대중적인 노래나 고전음악, 국악 및 가곡을 노래한다.

- 가수는 혼자서 활동하는 사람도 있고 여러 명이 팀을 이루어 활동하기도 한다. 

- 가수는 악보를 보고 악기나 녹음된 반주에 맞추어 리듬을 확인하고 노래 연습을 하며, 음반녹음 및 제작, 방송출연, 공연이나 콘서트 개최, 각종 행사출연 등이 활동의 주를 이룬다.  

- CF 및 영화, 드라마 등에 참여하여 곡을 부르기도 하며, 가창력과 연기력을 바탕으로 뮤지컬배우로 활동하기도 한다. 

- 직접 작사, 작곡, 편곡까지 하는 사람도 있다.

- 작사, 작곡된 악보를 보고 피아노 또는 녹음된 반주에 맞추어 음반을 녹음하거나 방송국의 공연장, 각종 행사에서 공연을 한다.",2천만원 ↑,280,가수,"- 가수는 뛰어난 노래실력과 청력이 필요하며, 새로운 음악과 다양한 모습을 보여주기 위해서 창의력을 갖추어야 한다.  

- 끼가 필요하고 많은 사람들 앞에서 노래를 부르고 춤을 출 수 있는 적극적이고 활발한 성격을 가진 사람에게 적합하며, 인내와 끈기가 있어야 한다. 

- 예술형과 사회형의 흥미를 가진 사람에게 적합하며, 정직, 인내심, 신뢰성, 책임감 등의 성격을 가진 사람들에게 유리하다.",,"283, 113, 329, 395, 396, 452","성악과, 실용음악과, 실용음악학과, 음악과, 음악학과, 작곡과"
"- 가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원은 정기적으로 자신이 맡은 가구나 업소를 방문하여 가스, 수도, 전력 사용량을 검침하고 기록하는 일을 담당한다. 
- 검침 관련 서류를 사용량에 따라 대단위/소단위 소비자와 지역별로 구분하여 전산으로 입력한다.  
- 계량기의 표면에 부착된 이물질을 제거하기도 하며, 계량기의 불량 상태 등을 점검하기도 한다.",2천만원 ↑,1,가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원,"- 많은 가정을 돌아다니면서 검침 업무를 수행해야 하므로 신체적으로 건강해야 하며 성실함과 끈기가 요구된다. 
- 고객에 대한 서비스 정신, 사용량에 따라 요금을 정확하게 징수할 수 있는 도덕성과 기본적인 수 계산능력 등이 요구된다. 
- 현실형과 관습형의 흥미를 가진 사람에게 적합하며, 정직, 독립성, 자기를 통제할 수 있는 성격을 가진 사람들에게 유리하다.",,,
"- 가전제품 설치 및 수리원은 서비스센터 내에서 근무하면서 방문하는 고객의 제품을 수리하거나 고객의 집을 직접 방문하여 수리한다. 

- 수리신청이 접수되면 접수된 내용을 확인하고 고객과 통화하여 고장내용과 문제를 확인한다. 

- 제품을 작동시켜 보거나 부품을 분해하여 테스터(tester), 튜브검사기 등을 사용하여 파손부위를 확인하고, 공구를 사용하여 교체하거나 수리한다. 

- 가전제품을 시운전하여 작동상태를 확인하고 수동공구를 사용하여 재조립한다. 

- 교체한 부품의 종류 및 수량을 작업일지에 기록하고 수리비용을 산출한다.

- 테스터(tester), 튜브검사기 등을 사용하여 파손 부위를 확인한다.

- 드라이버, 렌치 등의 수동공구를 사용하여 파손된 부품을 분리한다.

- 전기인두를 사용하여 파손된 부품을 교체한다.

- 가전제품을 시운전하고 작동상태를 확인하며, 수동공구를 사용하여 재조립한다.",3천만원 ↑,41,가전제품 설치 및 수리원,"- 가전제품 설치 및 수리원은 전기전자 기계 이론을 이해하고, 전자 제품들의 디지털 이론에 대한 기본적인 지식과 분석력이 필요하다. 

- 친절하고 외향적인 성격을 가진 사람에게 유리하며, 정밀한 가전제품의 고장 부위를 찾아내어 수리할 수 있는 꼼꼼한 성격이 요구된다. 

- 현실형과 탐구형의 흥미를 가진 사람에게 적합하며, 자기통제 능력, 독립성, 적응성 및 융통성 등의 성격을 가진 사람들에게 유리하다.","전기응용기술사, 전기산업기사, 전기기사, 전자기기기능사, 전자산업기사, 전자기사, 전자기기기능장, 전자응용기술사","459, 461, 463, 464, 469, 470","전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과"
"- 가축사육자는 조류, 파충류, 모피생산 동물과 소, 양, 돼지, 산양, 말 등과 같은 가축을 번식·사육하며 낙농제품을 생산하는데 필요한 활동을 한다.

- 가축, 가금, 새, 파충류, 누에 등 사육할 동물의 종류와 양을 결정하여 구입한다.

- 양질의 고기 및 알을 얻기 위해 사료의 배합과 공급을 조절하여 가축에게 먹이를 준다. 

- 항상 가축의 건강상태를 확인하고 구충제를 투여하며, 가축의 가벼운 상처나 질병의 경우에는 직접 치료한다.

- 콜레라 등 예방접종을 실시하고 분뇨청소, 방목장 및 우사 청소, 방역 등의 작업을 하며 가축의 주기적인 위생상태 점검을 실시한다.

- 사육할 동물의 종류와 양을 결정하고 동물에게 급여하는 사료의 양과 축사 내의 온도를 적절히 유지한다.",3천만원 ↑,174,가축사육자,"- 가축사육자는 사육 방법과 기술을 이해하고 실제 적용할 수 있는 학습 능력이 요구되며, 가축에 대한 세심한 관찰력과 관리 능력이 필요하다.

- 사람들의 먹거리와 직결되므로 위생관념이 철저해야 하며 가축의 건강상태를 꼼꼼하게 점검하여 질병을 미연에 방지하는 세심한 관찰력이 필요하다.  

- 탐구형과 예술형의 흥미를 가진 사람에게 적합하며, 인내심, 성취, 적응성 및 융통성 등의 성격을 가진 사람들에게 유리하다.","가축인공수정사, 축산기능사, 축산산업기사, 축산기술사, 축산기사","106, 107, 108, 556","농수산과, 농업경제학과, 농업교육과, 축산과"
"- 간병인은 병원, 요양소, 산후조리원, 산업체 및 기타 관련 업체기관 등에서 환자의 보호자를 대신하여 환자를 간호하고 돌보는 일을 담당한다. 

- 거동이 불편한 환자를 목욕시키고 대소변 배출을 도와주며, 환자가 거동할 때에는 휠체어를 밀어주며 함께 동행 한다. 

- 환자의 체온, 맥박, 호흡수를 측정하고 기록하며, 환자가 먹는 음식 및 음료의 양과 내용을 체크하고 필요에 따라서는 환자에게 음식을 먹여준다. 

- 병실의 청소를 담당하는 등 환자 주변의 위생 상태를 관리하고, 환자의 정신적 안정을 위해 말벗이 되어주기도 한다.  

- 환자가 침상에서 이동하는 것을 돕고, 심호흡이나 기침을 할 수 있도록 거들어 주며, 가능한 범위 내에서 운동하도록 도와준다.

- 약을 먹여주고 확인하는 일, 검사물 채집, 의사 회진시 환자상태에 대한 경과보고, 증상과 증후 관찰 등의 일을 수행한다.",2천만원 ↑,353,간병인,"- 환자에 대한 배려심과 봉사심, 희생정신이 요구된다. 

- 의료관련 물품 및 기기에 대한 지식을 가지고 있어야 하며, 응급상황 시 빠르게 대처할 수 있는 순발력과 판단력이 요구된다. 

- 의료진과 직원, 환자들과 원활하게 의사소통을 할 수 있는 능력이 요구된다. 

- 사회형과 진취형의 흥미를 가진 사람에게 적합하며,  남에 대한 배려, 스트레스 감내, 인내심, 자기통제를 할 수 있는 성격을 가진 사람들에게 유리하다.",,,
"- 간판제작원은 네온사인이나 안내표지, 실외간판 등을 설계·제작하여 설치하는 일을 담당한다. 
- 광고주로부터 주문을 받으면 광고주가 원하는 성격의 광고물에 대해 구체적으로 사용될 디자인, 형태, 기술 등을 기획한다.
- 고객의 명세서와 도면에 따라 필요한 재료 및 공구를 준비하고 문자, 상표, 무늬 등을 도안한다.
- 바탕이나 도안에 맞춰 아크릴 등의 재료를 절단하고 색을 칠한다.
- 설계도면에 따라 형광등과 같은 전기재료를 부착하고 전선을 연결하며, 전동공구를 사용하여 간판을 조립하고 고정한다. 
- 낡거나 색이 바랜 간판을 수리하고 세척하여 다시 페인트를 칠하는 업무도 수행한다.",3천만원 ↑,284,간판제작원,"- 용도와 고객의 의견을 정확하게 파악하여 간판을 독창적이고 창의적으로 제작할 수 있는 디자인 감각이 요구된다.
- 간판 제작에 필요한 공구 등을 능숙하게 다룰 수 있는 손재주가 필요하다. 
- 옥외광고물의 표시장소 및 표시방법, 게시시설의 설치, 유지와 관련된 옥외광고물의 관리법 등에 대한 지식이 요구된다. 
- 예술형과 현실형의 흥미를 가진 사람에게 적합하며,  혁신, 적응력 및 융통성 등의 성격을 가진 사람들에게 유리하다.","광고도장기능사, 옥외광고사","51, 252","광고디자인과, 산업디자인과"
