majorSeq,major,interest,property,schoolName,공통과목,일반선택과목,진로선택과목,lClass,class_type
11,건강관리학과,기본적으로 스포츠를 좋아하고 체육 교과목에 대한 관심이 있어야 합니다. 관심있는 스포츠 종목에 대한 지식과 다양한 기술을 알고 있어야 적절한 판단을 할 수 있습니다. 고객의 상태나 특성을 빠르게 분석하고 올바른 판단을 할 수 있는 능력이 요구됩니다.,"운동은 의학적인 효과를 입증 받고 있고, 국가에서도 국민의 건강과 삶의 질 향상을 위해 운동이 적극 권장되고 있습니다. 지역사회는 물론 국가차원에서도 건강증진을 위한 과학적인 운동방법(운동처방)에 대한 요구와 수요가 점점 많아지고 있습니다. 과도한 운동이나 잘못된 방식의 운동은 오히려 우리 몸에 해가될 수 있습니다. 올바른 자세로 적정한 운동을 하도록 지도하는 일은 건강관리학을 전공한 전문가의 몫입니다.
",경희사이버대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
10041,경호학과,"신체가 건강하고 의협심이 강한 사람에게 적합합니다. 운동신경이 좋아야 하며, 정확한 판단력과 순발력이 있어야 합니다. 남에 대한 배려, 리더십, 분석적 사고 등도 중요합니다. 무도 중심의 과목들만 배울 뿐만 아니라 이론과목도 공부하므로 사회과학 분야에 대한 지식도 필요합니다.","사회가 개방화, 도시화, 과학화되고 정보통신이 발달하면서 과거 어느 때보다 복잡해지고 있으며, 이로 인해 각종 범죄가 증가하고 있습니다. 또, 전 세계적으로 경호의 영역이 첨단기계 경비 및 인텔리전트 빌딩 등의 관리와 각종 재해 방지로 확대되면서경호학과의 중요성이 날로 커지고 있습니다.",동서대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
34,공업디자인학과,예술적 안목이 있고 미적 감각과 감수성이 좋고 표현력이 우수한 사람들에게 적합한 전공입니다. 새로운 아이디어를 이끌어낼 수 있는 호기심과 관찰력이 중요합니다. 산업계의 변화 트렌드를 읽을 수 있어야 하고 디자인을 산업 기기에 적용할 수 있는 능력이 있어야 합니다.,"우수한 공업디자인의 결과물은 사용자 개인에게는 만족감을 주고 보다 편리하게 사용을 할 수 있도록 합니다. 기업에게는 이익을 높이고 기업 이미지를 높일 수 있는 효과를 가져 오고, 국가 사회적 차원으로는 국가경쟁력과 문화수준을 높여 줍니다.",국민대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
39,공예디자인학과,다양한 환경 속에서 기능하는 다양한 생활도구나 조형물을 새로운 시각에서 디자인할 수 있는 자신만의 생각이 있어야 합니다. 새로운 아이디어를 내고 자신만의 색깔이 있는 사람에게 유리한 전공입니다. 최근에는 컴퓨터를 활용하여 디자인을 하는 것이 일반적 추세이어서 디자인 관련 컴퓨터 프로그래밍을 잘 할 수 있어야 합니다. 다양한 공예 소재에 대한 이해가 있어야 하고 생활 속의 공예품을 만들 수 있는 능력이 있어야 합니다. ,‘공예’는 자기가 주도하는 디자이너이자 공예가로 평생을 함께 할 수 있는 전공입니다. 공예를 전공해 익힌 노하우와 능력의 발휘는 기업과 같은 조직에서 디자이너로서 일할 수 있을 뿐만 아니라 언제든 혼자서도 공예가로서 일할 수 있어서 평생 직업으로서의 매력이 큽니다. ,서울과학기술대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
41,공예학과,예술 분야에 관심이 많고 평소에 어떤 물건이든 만들어 내는 일을 즐겨 하는 사람이라면 흥미롭게 공부할 수 있는 분야입니다. 예술 감각이 필요하며 각종 재료 및 도구를 이용하여 제품을 만들기 때문에 손재주가 있어야 합니다. 또한 훌륭한 공예품을 만들기 위해서는 전문적인 지식과 오랜 숙련된 기술이 필요한데 이것을 이루기 위해서는 상당 기간 숙련을 쌓을수 있는 인내심과 의지력이 필요합니다.,"공예학과는 조형 전반에 대한 이해를 바탕으로 공예의 각 분야를 고루 익힌 후에 도자공예, 목공예, 금속공예 등 세부 전공을 선택하여 공부합니다. 수공방식으로도 생산된다는 점에서 대량생산에만 의존하는 산업디자인과 구분되며, 일상생활과 밀접한 공예품을 제작한다는 점에서 조소와 차이가 있습니다.",동덕여자대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
49,관현악과,"관현악을 배우고 연주하는 활동 자체를 즐길 수 있는 사람에게 어울리는 전공입니다. 누군가가 원해서가 아니라 자신이 진정으로 원하는 것이 음악이어야 합니다. 다양한 사람들과 잘 어울릴 수 있어야 하고, 자신의 주장을 잘 전달하고 상대방의 이야기를 잘 이해할 수 있어야 합니다.","관현악과는 크게 관악전공과 현악전공으로 나누어집니다. 관악전공은 플루트, 오보에, 클라이넷, 바순, 색소폰의  목관 파트와 호른, 트롬본, 튜바의 금관 파트 그리고 타악기 파트로 구성됩니다. 현악은 바이올린, 비올라, 첼로, 더블 베이스, 하프  전공으로 이루어집니다.
",국민대학교,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평",예체능계열,예체능계열
10140,광고디자인학과,새로운 콘텐츠를 만들 수 있는 창의성을 갖추고 있어야 하고 미적인 감각이 좋은 사람에게 유리합니다. 마케팅과 제품 제조 등에 대한 지식이 요구되며 컴퓨터 멀티미디어 프로그램을 원활하게 다룰 수 있는 능력을 가지고 있어야 합니다.,광고 디자인 분야에서는 이론이나 지식뿐만 아니라 좋은 광고를 만들 수 있는 실무능력이 중요합니다. 전공 공부에 있어서도 이론 수업과 아울러 실습 수업이 중요한 학과입니다.,을지대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
67,국악학과,"우리 전통 예술을 좋아하며 음악적 감수성이 풍부한 사람에게 적합합니다. 더불어 자신의 전공 악기를 선택해서 충분한 기초 교육을 받고 자신의 전공 분야에 대한 실기 능력을 탄탄히 쌓아야 합니다. 또, 피아노 등 고정 음고 악기를 통한 시창이나 청음 훈련도 중요합니다.","국악학과의 주요 분야는 가야금, 해금, 대금, 피리 등을 연주하는 연주 분야, 가곡과 판소리의 창법을 배우는 성악 분야, 동서양의 음악 이론을 토대로 새로운 국악을 창조하는 국악 작곡 분야가 있습니다. 현재 국악 분야는 전통도 되찾아야 하고 다양한 변신을 통해 세계 속으로 나아가야 합니다. 이렇듯 개척할 일도 많은 만큼 국악의 발전 잠재력은 무궁무진합니다.",동국대학교,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평",예체능계열,예체능계열
78,금속공예학과,금속공예를 전공하려면 정교한 손동작과 섬세함이 필요합니다. 새로운 아이디어로 새로운 공예품을 만들 수 있는 사람에게 적합한 전공입니다. 하나의 금속공예품을 만들려면 긴 시간이 필요해서 인내력과 성실성이 요구됩니다. 금속공예에 관한 지식과 이론을 충분히 습득할 수 있어야 합니다.,"금속공예학과 전공자가 진출할 수 있는 분야가는 다양합니다. 졸업생들이 금속공예가, 장신구작가, 귀금속 디자이너, 생활용품과 문화상품 디자이너, 상품기획과 유통 전문가, 화랑운영자, 큐레이터, 교육자 등으로 많은 졸업생들이 국내ㆍ외에서 활동하고 있습니다.",국민대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
94,기악과,"감성이 풍부하고 열성적인 사람에게 어울립니다. 하지만 예술적 재능이 중요합니다. 또한 어려서부터 악기를 다루고 항상 꾸준하게 연습해야 하므로 성실성, 인내력이 요구됩니다. 더불어 같은 곡을 같은 악기로 연주해도 연주자에 따라 전혀 다른 곡이 되므로 자신만의 감성으로 곡을 해석하는 능력이 필요합니다.","기악학과는 피아노 전공과 관현악 전공으로 구분됩니다. 관현악 전공은 바이올린, 첼로, 하프 등을 다루는 현악 분야와 플루트, 클라리넷, 호른 등을 연주하는 관악 분야, 그리고 팀파니 등 두드리는 악기 중심의 타악 분야로 분류됩니다. 악기로 다루는 것은많은 시간과 노력이 필요하므로 대부분 악기를 연주하는 사람들은 아주 어릴 때부터 시작하게 됩니다.",경희대학교,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평",예체능계열,예체능계열
